igre,disciplina,mesto,drzava,ime,rezultat
Chamonix 1924,500m-men,1,USA,Charles Jewtraw,44.00
Chamonix 1924,500m-men,2,NOR,Oskar Olsen,44.20
Chamonix 1924,500m-men,3,NOR,Roald Larsen,44.80
Chamonix 1924,500m-men,3,FIN,Clas Thunberg,44.80
Chamonix 1924,500m-men,5,FIN,Asser Wallenius,45.00
Chamonix 1924,500m-men,6,SWE,Axel Blomqvist,45.20
Chamonix 1924,500m-men,7,CAN,Charlie Gorman,45.40
Chamonix 1924,500m-men,8,USA,Joe Moore,45.60
Chamonix 1924,500m-men,8,NOR,Harald Ström,45.60
Chamonix 1924,500m-men,10,FIN,Julius Skutnabb,46.40
Chamonix 1924,500m-men,11,SWE,Erik Blomgren,46.60
Chamonix 1924,500m-men,12,USA,Harry F. Kaskey,47.00
Chamonix 1924,500m-men,13,NOR,Sigurd Moen,47.20
Chamonix 1924,500m-men,14,USA,William E. Steinmetz,47.80
Chamonix 1924,500m-men,15,FRA,Léon Quaglia,48.40
Chamonix 1924,500m-men,16,LAT,Alberts Rumba,48.80
Chamonix 1924,500m-men,17,POL,Leon Jucewicz,49.60
Chamonix 1924,500m-men,18,FRA,Albert Hassler,50.60
Chamonix 1924,500m-men,19,BEL,Louis De Ridder,52.80
Chamonix 1924,500m-men,20,FRA,André Gegout,53.20
Chamonix 1924,500m-men,21,FRA,Georges Frédéric De Wilde,54.80
Chamonix 1924,500m-men,22,BEL,Gaston Van Hazebroeck,55.80
Chamonix 1924,500m-men,23,GBR,Fred Dix,56.40
Chamonix 1924,500m-men,23,BEL,Philippe Van Volckxsom,56.40
Chamonix 1924,500m-men,25,GBR,Tom Sutton,1:00.80
Chamonix 1924,500m-men,26,BEL,Marcel T. Moens,1:02.20
Chamonix 1924,500m-men,27,GBR,Cyril Walter Horn,1:04.40
Chamonix 1924,1500m-men,1,FIN,Clas Thunberg,2:20.80
Chamonix 1924,1500m-men,2,NOR,Roald Larsen,2:22.00
Chamonix 1924,1500m-men,3,NOR,Sigurd Moen,2:25.60
Chamonix 1924,1500m-men,4,FIN,Julius Skutnabb,2:26.60
Chamonix 1924,1500m-men,5,NOR,Harald Ström,2:29.00
Chamonix 1924,1500m-men,6,NOR,Oskar Olsen,2:29.20
Chamonix 1924,1500m-men,7,USA,Harry F. Kaskey,2:29.80
Chamonix 1924,1500m-men,8,USA,Charles Jewtraw,2:31.60
Chamonix 1924,1500m-men,8,USA,Joe Moore,2:31.60
Chamonix 1924,1500m-men,10,LAT,Alberts Rumba,2:32.00
Chamonix 1924,1500m-men,11,CAN,Charlie Gorman,2:35.40
Chamonix 1924,1500m-men,12,USA,William E. Steinmetz,2:36.00
Chamonix 1924,1500m-men,13,SWE,Axel Blomqvist,2:36.40
Chamonix 1924,1500m-men,14,FRA,Léon Quaglia,2:37.00
Chamonix 1924,1500m-men,15,POL,Leon Jucewicz,2:42.60
Chamonix 1924,1500m-men,16,FRA,André Gegout,2:54.40
Chamonix 1924,1500m-men,17,BEL,Gaston Van Hazebroeck,2:54.80
Chamonix 1924,1500m-men,18,FRA,Georges Frédéric De Wilde,2:55.00
Chamonix 1924,1500m-men,19,BEL,Louis De Ridder,3:01.80
Chamonix 1924,1500m-men,20,BEL,Philippe Van Volckxsom,3:14.60
Chamonix 1924,1500m-men,21,BEL,Marcel T. Moens,3:16.80
Chamonix 1924,5000m-men,1,FIN,Clas Thunberg,8:39.00
Chamonix 1924,5000m-men,2,FIN,Julius Skutnabb,8:48.40
Chamonix 1924,5000m-men,3,NOR,Roald Larsen,8:50.20
Chamonix 1924,5000m-men,4,NOR,Sigurd Moen,8:51.00
Chamonix 1924,5000m-men,5,NOR,Harald Ström,8:54.60
Chamonix 1924,5000m-men,6,USA,Valentine Bialas,8:55.00
Chamonix 1924,5000m-men,7,NOR,Frithjof Paulsen,8:59.00
Chamonix 1924,5000m-men,8,USA,Richard E. Donovan,9:05.60
Chamonix 1924,5000m-men,9,FRA,Léon Quaglia,9:08.60
Chamonix 1924,5000m-men,10,FIN,Asser Wallenius,9:12.80
Chamonix 1924,5000m-men,11,LAT,Alberts Rumba,9:14.40
Chamonix 1924,5000m-men,12,SWE,Erik Blomgren,9:14.60
Chamonix 1924,5000m-men,13,USA,Charles Jewtraw,9:27.00
Chamonix 1924,5000m-men,14,USA,William E. Steinmetz,9:35.00
Chamonix 1924,5000m-men,15,SWE,Axel Blomqvist,9:48.80
Chamonix 1924,5000m-men,16,POL,Leon Jucewicz,10:05.60
Chamonix 1924,5000m-men,17,BEL,Gaston Van Hazebroeck,10:13.80
Chamonix 1924,5000m-men,18,FRA,André Gegout,10:15.20
Chamonix 1924,5000m-men,19,FRA,Georges Frédéric De Wilde,10:39.80
Chamonix 1924,5000m-men,20,GBR,Albert Tebbit,11:01.00
Chamonix 1924,5000m-men,21,BEL,Marcel T. Moens,11:30.40
Chamonix 1924,10000m-men,1,FIN,Julius Skutnabb,18:04.80
Chamonix 1924,10000m-men,2,FIN,Clas Thunberg,18:07.80
Chamonix 1924,10000m-men,3,NOR,Roald Larsen,18:12.20
Chamonix 1924,10000m-men,4,NOR,Frithjof Paulsen,18:13.00
Chamonix 1924,10000m-men,5,NOR,Harald Ström,18:18.60
Chamonix 1924,10000m-men,6,NOR,Sigurd Moen,18:19.00
Chamonix 1924,10000m-men,7,FRA,Léon Quaglia,18:25.00
Chamonix 1924,10000m-men,8,USA,Valentine Bialas,18:34.00
Chamonix 1924,10000m-men,9,USA,Richard E. Donovan,18:57.00
Chamonix 1924,10000m-men,10,FIN,Asser Wallenius,19:03.80
Chamonix 1924,10000m-men,11,LAT,Alberts Rumba,19:14.60
Chamonix 1924,10000m-men,12,USA,Joe Moore,19:36.20
Chamonix 1924,10000m-men,13,USA,Harry F. Kaskey,19:45.20
Chamonix 1924,10000m-men,14,POL,Leon Jucewicz,20:40.80
Chamonix 1924,10000m-men,15,FRA,André Gegout,21:03.40
St Moritz 1928,500m-men,1,NOR,Bernt Evensen,43.40
St Moritz 1928,500m-men,1,FIN,Clas Thunberg,43.40
St Moritz 1928,500m-men,3,USA,John O Farrell,43.60
St Moritz 1928,500m-men,3,FIN,Jaakko Friman,43.60
St Moritz 1928,500m-men,3,NOR,Roald Larsen,43.60
St Moritz 1928,500m-men,6,NOR,Haakon Pedersen,43.80
St Moritz 1928,500m-men,7,CAN,Charlie Gorman,43.90
St Moritz 1928,500m-men,8,FIN,Bertel Backmann,44.40
St Moritz 1928,500m-men,9,NOR,Oskar Olsen,44.70
St Moritz 1928,500m-men,10,USA,Edward Murphy,44.90
St Moritz 1928,500m-men,11,USA,Irving Jaffee,45.20
St Moritz 1928,500m-men,11,CAN,William F. Logan,45.20
St Moritz 1928,500m-men,11,FIN,Toivo Ovaska,45.20
St Moritz 1928,500m-men,14,CAN,Ross Robinson,45.90
St Moritz 1928,500m-men,15,EST,Christfried Burmeister,46.20
